"nid","key_number","display_name","sort_name","parent","biography","present_in_yok"
"24568","3811","Unnamed Negro Infant in ""Raid""|The Unvanquished","Unnamed Negro Infant in ""Raid""|The Unvanquished","Unnamed Self-Emancipated Mother","<p>This infant, described only as ""a baby, a few months old,"" is seen in the arms of the self-emancipated Negro whom Rosa and her party encounter on their way to Hawkhurst.</p>","No"
"24529","3810","Unnamed Poor Whites Near Sutpen's Hundred","Unnamed Poor Whites Near Sutpen's Hundred","","<p>The ""clientele"" of the store that Sutpen opens after returning from the Civil War in <em>Absalom, Absalom!</em> includes blacks and whites from the area (147).  Shreve McCannon uses the derogatory term ""white trash"" to describe the white patrons, though his use of the term also indicates that it is one he wasn't familiar with as a Canadian: ""what is it? the word? white what? - Yes, trash"" (147).</p>","Yes"
"24527","3809","Unnamed Negroes Near Sutpen's Hundred","Unnamed Negroes Near Sutpen's Hundred","","<p>The ""clientele"" of the ""little crossroads store"" that Thomas Sutpen opens after the Civil War includes, according to Shreve McCannon, ""freed niggers"" who live in the area (147).  Shreve uses the adjective ""freed"" because the historical context is the immediate aftermath of the Civil War and Emancipation.  He uses that derogatory noun to describe these former slaves because Negroes are considered inferior - though it's interesting to note that in this same passage Shreve reveals how, as a Canadian, he is with the equally derogatory term ""white trash"" (147).  As the larger story of <em>Absalom, Absalom</em> tragically reveals, racism is more deeply rooted in the (white) psyche than class consciousness.</p>","Yes"
"24506","3808","Unnamed Southern Lady","Unnamed Southern Lady","","<p>Mr. Compson creates this profile of ""a Southern lady"" in <em>Absalom, Absalom!</em> while telling Quentin about Rosa Coldfield's behavior after her sister Ellen dies (68).  According to his misogynistic generalization, the ""Southern lady"" is ""like a vampire"" in the way she will feed herself and her idea of what she is entitled to off the lives of her relatives or in-laws (68).</p>","No"
"24501","3807","Unnamed Women Married by J.P.s","Unnamed Women Married by J.P.s","","<p>In the middle of describing Sutpen and Ellen's wedding in <em>Absalom, Absalom!</em> Mr. Compson interrupts his reconstruction to generalize about women who never had formal weddings: ""women who were married by tobacco-chewing j[ustices of the] p[eace]s in country courthouses or by ministers waked after midnight"" (37).  According to his misogynistic assertion, it is the longing of these women for a more ceremonial wedding that is the cause of ""most divorces"" (37).</p>","No"
"24493","3806","Unnamed Slave Buyers","Unnamed Slave Buyers","","<p>When Mr. Compson describes how Charles Bon initiates Henry Sutpen into the secrets of white male upper class life in New Orleans by taking him to the place where white-featured enslaved women are sold to men who will use them for sex, he describes the ""young men"" whom Henry sees with a series of adjectives: ""elegant,"" ""trim,"" ""predatory"" and ""(at the moment) goatlike"" (89).  Bon - or at least, Mr. Compson's version of Bon - later refers to this group as ""the thousand, the white men"" who ""made, created and produced"" the white-featured female slaves whom they purchase (91).</p>","No"
"24456","3805","Unnamed Fellow at De Spain's","Unnamed Fellow at De Spain's","","<p>Ratliff brings this ""fellow"" into <em>The Hamlet</em> in his account of how Ab Snopes burned De Spain's barn: according to this account, he bases his description of the rapid ""gait"" at which De Spain rode his horse from the barn to the cabin where Ab was living on this ""fellow who heard him passing in the road"" (19).  Throughout his account of Ab and De Spain (essentially a re-telling of the short story ""Barn Burning""), Ratliff describes events he did not witness firsthand, but this is the only point at which he explains how he 'knew' what happened.</p>","Yes"
"24452","3804","Unnamed Man in Texas","Unnamed Man in Texas","","<p>This is the Texan with whom Anse McCallum traded fourteen rifle cartridges for two of the same kind of horses that appear in <em>The Hamlet</em>.  The man also tried to trade four more horses for a rifle, but Anse refused.</p>","No"
"24427","3803","Unnamed European Princesses","Unnamed European Princesses","","<p>These ""heiresses to European thrones"" appear only inside a quasi-Homeric or mock-heroic simile when the narrator of <em>Intruder in the Dust</em> compares Willy Ingrum, who moves to Jefferson from Beat Four, marries ""a town girl,"" and becomes the ""town marshal"" to the ""petty Germanic princelings [who] come down out of their Brandenburg hills to marry the heiresses to European thrones"" (133).  It's not clear if Faulkner is thinking of specific members of European royalty.</p>","No"
"24425","3802","Unnamed Germanic Princelings","Unnamed Germanic Princelings","","<p>In a kind of mock-Homeric simile, the narrator of <em>Intruder in the Dust</em> compares the ""apostate sons of Beat Four"" in Yoknapatawpha who move into Jefferson and marry ""a town girl"" to the ""petty Germanic princelings [who] would come down out of their Brandenburg hills to marry the heiresses to European thrones"" (133).  It's not clear if Faulkner is thinking of any specific German noblemen.  (Brandenburg was a province of Prussia until Prussia was abolished after World War II, when Brandenburg became a separate German state.)</p>","No"
"24414","3801","Unnamed European Immigrants","Unnamed European Immigrants","","<p>During his lengthy monologue about race in Chapter 7 of <em>Intruder in the Dust</em>, Gavin Stevens refers with clear contempt to what he calls ""the coastal spew of Europe"" that lives in the urban, industrial North, an undefined group that he juxtaposes to ""the New Englander"" who lives ""back inland"" away from the cities on the coast (150).  The distinction is a hierarchical and even moral one: the traditional (i.e. ""Anglo-Saxon,"" a term Gavin uses earlier in the passage, 152) New Englander has been essentially overrun by this ""unrootable"" group from Europe, which explains why, in Gavin's mind, the ""homogeneous"" white South alone can defend the best values of American culture (150).</p>","No"
"24412","3800","Unnamed New Englanders","Unnamed New Englanders","","<p>This ""New Englander"" is different from the 'Yankees' and 'Northerners' that Gavin Stevens often disparages in <em>Intruder in the Dust</em>.  During his lengthy monologue about race in Chapter 7, Gavin mentions ""the New Englander"" after telling his nephew that the white South, ""alone in the United States,"" is ""a homogeneous people""; he adds that this ""New Englander"" who lives ""back inland"" from the cities on the coast is also homogeneous, ""but there are no longer enough of him"" to preserve what, in Gavin's mind, the white South must defend (150).</p>","No"
"24410","3799","Unnamed Swiss","Unnamed Swiss","","<p>Gavin Stevens mentions ""the Swiss"" in passing during his lengthy monologue about race in Chapter 7 of <em>Intruder in the Dust</em>: after telling his nephew that the white South, ""alone in the United States,"" is ""a homogeneous people,"" he compares them to the ""the Swiss"" - they too are homogeneous, but there are not ""enough"" of them to matter, adding that they ""are not a people so much as a neat clean quite solvent business"" (150).</p>","No"
"24402","3798","Unnamed Confederate Cavalry 5","Unnamed Confederate Cavalry 5","","<p>This is the ""party of horsemen"" mentioned by Lucius in <em>The Reivers</em> that was led by the brother of Nathan Bedford Forrest; they rode their horses ""into the lobby"" of the Gayoso Hotel in Memphis and, according to Lucius, ""almost captured a Yankee general"" (94).  Lucius does not say more about the cavalrymen, except that they included the Priest family's ""remote"" kinsman Theophilus McCaslin (94).</p>","Yes"
"24399","3797","Unnamed Jefferson Lawyers","Unnamed Jefferson Lawyers","","<p>These men appear <em>in absentia</em> in <em>The Mansion</em> as part of the explanation of how Otis Meadowfill ended up ""choosing [Gavin] Stevens from among the other Jefferson lawyers"" (367).  As a county seat and the site of a federal courthouse, Jefferson presumably had quite a number of lawyers throughout its history.</p>","Yes"
"24397","3796","Unnamed Italian Marble Syndicate","Unnamed Italian Marble Syndicate","","<p>Italian marble appears in Yoknapatawpha in 4 different Yoknapatawpha fictions: the marble tombstones Sutpen has made for himself and Ellen are imported from Italy in <em>Absalom!</em>; the marble columns for the rebuilt courthouse in <em>Requiem for a Nun</em> are too; and so is the marble medallion that Gavin Stevens and Linda Snopes order for Eula's monument in <em>The Town</em>, or the monument itself, referred to as an ""outrageous marble lie"" <em>The Mansion</em> (460).  The only mention of the Italians behind these status symbols, however, occurs in <em>The Mansion</em>, which refers to ""the Italian marble syndicate"" as the only time someone had sold Flem ""anything as amorphous as prestige"" (358).  Whether ""marble syndicate"" includes the craftsmen who worked with the marble, or just to the executives who managed the transaction, isn't clear.</p>","No"
"24391","3795","Herbert Hoover","Hoover, Herbert","","<p>The real Herbert Hoover was the 31st President of the U.S. (1929-1933).  The ""Herbert Hoover"" who appears in <em>The Mansion</em>, however, is the creation of Gavin Stevens, who is trying to direct the Federal Bureau of Investigation. away from Linda Snopes Kohl by writing an anonymous letter to ""Herbert Hoover/F B & I Depment"" accusing Flem Snopes of having a ""commonist party Card"" (269).  The real head of the F.B.I. at the time, of course, was J. Edgar Hoover - no relation to Herbert - but Gavin's 'mistake' is part of his impersonation of an ""Patriotic Citizen"" who cannot spell (269).</p>","No"
