"SourceTextTitle","SourceTextCode","CharacterName","AKA","Race","Gender","Class","Rank","Vitality","Family","Occupation","SpecificJob","Home","DateOfBirth","FirstAppearence","Biography","CauseOfDeath","col","dob_span","glue","hover","lab","location","mark","Narrator","none","Origin","OtherTexts","OtherTextsTEMP","Real","wid","x","y","Sort Name","Nid","IndividualGroup","Disability","Ethnicity","Ontological Status","ChangesClass","CharacterKey","CharacterKeyID","Parent","financial_status","social_status","family_new","date_of_death"
"Flags in the Dust","FD","(Old) Bayard Sartoris","Colonel","White","Male","Upper Class","Major","Born-and-Dies","Sartoris","Management","Banker, Landlord","Sartoris Plantation","January 1st, 1849 to December 31st, 1849","Sartoris Bank|Merchants' and Farmers' Bank","<p>Bayard Sartoris is one of the novel's key characters. The only son of Colonel John Sartoris, he is often referred to by other characters in the novel as ""Colonel"" or ""Cunnel,"" though in his case the title is honorary: unlike his father, his son or his grandsons, he never fought in a war.  He still lives in the mansion his father ""built and rebuilt,"" collecting rents from the tenant farmers who work the ""good broad fields"" - ""Bayard's own land"" - on the family estate four miles north of Jefferson (8).  He is also one of the town's leading citizens, the founder and president of the Merchants and Farmers Bank.  (In ""A Rose for Emily"" [1930] he is also Jefferson's mayor in the 1890s.) His attempt to preseve tradition and heritage is exemplified both in his household, by the carriage in which he is driven, as well as at the bank he runs, where he refuses to make loans to people who want to buy an automobile. Ironically, however, he dies of a heart attack while riding in his grandson Bayard's car.  He appears throughout the Yoknapatawpha fictions, most notably as the narrator of the short stories in <em>The Unvanquished</em> (1938).</p><br />","Accident","0xFF99FF","","","showCharHover","t","Sartoris bank","1","","","Yoknapatawpha","""A Rose for Emily"", ""All the Dead Pilots"", ""Ambuscade"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Raid"", ""Retreat"", ""Skirmish at Sartoris"", ""There Was a Queen"", ""Vendee"", Go Down, Moses, Requiem for a Nun, The Hamlet, The Mansion, The Reivers , The Town, The Unvanquished","i(The Unvanquished); i(The Hamlet); i(Go Down, Moses); i(Requiem for a Nun); i(The Town); i(The Mansion); i(The Reivers); ""My Grandmother Millard""; ""A Rose for Emily""; ""There was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,RC[6])))","1 254","817","Sartoris, (Old) Bayard","1387","Individual","audio impaired","","","0","Bayard Sartoris II","18840","Mrs. John Sartoris;Colonel John Sartoris","","","SartorissInFD","Monday, December 15, 1919 to Thursday, December 18, 1919"
"Flags in the Dust","FD","Simon Strother","","Black","Male","Free Black","Major","Dies","Strother","Domestic Service","Carriage Driver, Butler","Sartoris Plantation Slave Cabin","January 1st, 1859 to December 31st, 1860","Sartoris Bank|Merchants' and Farmers' Bank","<p>An elderly black Servant, father of Elnora and Caspey, and Bayard Sartoris' coachman and butler.  The novel's narrator says Simon was three when he watched his grandfather Joby bury the Sartoris silver, which must have occurred around 1863 when the fall of Vicksburg made Mississippi vulnerable to Union troops.  But although he was born a slave, Simon seems to long for the old plantation: in the novel he continues to talk, respectfully, to his former master, Colonel John Sartoris, even though ""Marse John"" has been dead for more than forty years (112).  Simon is shrewd enough to know how to manipulate his current employer, John's son Bayard, whom Simon calls ""Cunnel,"" but the language the narrator uses to describe Simon is often extremely racist, i.e. ""his apelike head"" (239).  At the very end of the novel Simon is found murdered in the cabin of Meloney Harris, to whom he had given Baptist church money entrusted to him for her to open a beauty parlor. Simon is said to be Joby's grandson.</p><br />","Murder","0xFFFFFF","5","","showCharHover","t","Sartoris bank","4","","","Yoknapatawpha","""There Was a Queen"", The Mansion, The Unvanquished","""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 204","817","Strother, Simon","1388","Individual","","","","0","Simon Strother","18870","","","","StrothersInFD",""
"Flags in the Dust","FD","Byron Snopes","","White","Male","Lower Class","Major","Alive","Snopes","Sales and Service","Bookkeeper","Beard Hotel","January 1st, 1890 to December 31st, 1898","Sartoris Bank|Merchants' and Farmers' Bank","<p>Byron is identified as a cousin of Flem Snopes, and like Flem has come to Jefferson from the area around Frenchman's Bend.  Both Narcissa Benbow and the narrator note that he has ""reddish hair which clothes his arms down the the second joints of his fingers"" (101).  He writes Narcissa anonymous love letters, spies into her windows at night, and on his last night in Jefferson breaks into her bedroom and lies on her empty bed, ""writhing and making smothered, animal-like noises"" (276).  After robbing the bank where he works, and stealing his letters back from Narcissa's bedroom, he flees through Frenchman's Bend and to the east.</p><br />","","0x000000","5","","showCharHover","t","Sartoris bank","5","","","Yoknapatawpha","""There Was a Queen"", The Mansion, The Town","i(The Town; i(The Mansion)","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 154","817","Snopes, Byron","1389","Individual","","","","0","Byron Snopes","19095","","","","SnopessInFD",""
"Flags in the Dust","FD","Colonel John Sartoris","The Colonel","White","Male","Upper Class","Major","Dead-ghost","Sartoris","Management","Planter, Soldier, Railroad Builder","Sartoris Plantation","January 1st, 1823 to December 31st, 1823","Sartoris Plantation","<p>Legendary progenitor of the Sartoris family, and one of the central characters in Yoknapatawpha's history. Born the eldest male in ""Carolina,"" he had a brother, Bayard, and apparently several sisters, the youngest of whom, Virginia Du Pre, came to live with his family in 1869. He arrived in Jefferson around 1837, where he built a large plantation home four miles north of town. He married a daughter of Rosa Millard, with whom he fathered three children, two daughters whose names are never revealed (born, judging from the three children's ages as revealed in <em>Flags in the Dust</em>, around 1847 and 1852), and a son, Bayard. At the start of the Civil War, he raised the first regiment of Confederate soldiers in the county and went to Virginia to fight. Elected Colonel at the outset, a year later he was voted out by the troops and returned to Mississippi, where he raised another unit of Partisan Rangers. His success in raids caused the Union Army to put a price on his head. During Reconstruction he killed two carpetbaggers who were in Jefferson petitioning for civil rights for recently freed slaves. During the same postwar years, Sartoris grew in stature as a politician and businessman, building a railroad that was completed in 1876.  Soon after that, he ran for the state Legislature, defeating his former business partner, named ""Redlaw"" in <em>Flags</em>, who in a final act of desperation stemming from years of rivalry killed Sartoris in 1876.</p><br />","Murder","0xFFFFFF","","","showCharHover","t","Sartoris plantation","8","","","Carolina","""A Rose for Emily"", ""Ambuscade"", ""Barn Burning"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Raid"", ""Retreat"", ""Shall Not Perish"", ""Skirmish at Sartoris"", ""The Unvanquished"", ""There Was a Queen"", ""Vendee"", Absalom, Absalom!, Go Down, Moses, Light in August, Requiem for a Nun, The Mansion, The Reivers , The Sound and the Fury, The Town, The Unvanquished","i(The Sound and the Fury); i(Light in August); i(Absalom, Absalom!); i(The Unvanquished); i(Go Down, Moses); i(Requiem for a Nun); i(The Town); i(The Mansion); i(The Reivers);  ""A Rose for Emily""; ""There Was a Queen""; ""Barn Burning""; ""My Grandmother Millard""; ""Shall Not Perish""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 139","419","Sartoris, Colonel John","1390","Individual","","","","0","John Sartoris I","18838","Colonel John Sartoris' Mother","","","SartorissInFD","Monday, September 4, 1876"
"Flags in the Dust","FD","Jenny Du Pre","Virginia Sartoris;Aunt Jenny;Genevieve Du Pre;Virginia Du Pre","White","Female","Upper Class","Major","Alive","Sartoris","","","Sartoris Plantation","January 1st, 1839 to December 31st, 1839","Mitchell House","<p>The younger sister of Colonel John Sartoris, Jenny married a man named Du Pre, who was killed in the Civil War.  In 1869 she made her own way from Carolina to Mississippi to live with her brother's family, bringing with her ""a straw-filled hamper"" containing pieces of colored glass from the family's ancestral mansion (10) and tales of Sartoris daring.  Indomitable and strong-willed, she comes to run the Sartoris household and outlives all of the Sartoris men except for Benbow Sartoris, her great-great-grandnephew.  While she acts exasperated with the line of Sartoris males, she in fact dotes upon them or their memories, turning their actions into the stuff of myth and legend.</p><br />","","0xFFFFFF","","","showCharHover","t","Sartoris plantation","13","","","Carolina","""All the Dead Pilots"", ""There Was a Queen"", Requiem for a Nun, Sanctuary, The Mansion, The Town, The Unvanquished","i(Sanctuary); i(The Unvanquished); i(Requiem for a Nun); i(The Town); ""There Was a Queen""; ""All the Dead Pilots""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 089","419","Du Pre, Jenny","1391","Individual","","","","0","Virginia Sartoris Du Pre","18852","Colonel John Sartoris&#039; Mother","","","SartorissInFD",""
"Flags in the Dust","FD","(Young) Bayard Sartoris","","White","Male","Upper Class","Major","Dies","Sartoris","Management","Aviator, Landlord","Sartoris Plantation","March 16th, 1893","Sartoris Plantation","<p>Along with Horace Benbow, ""Young"" Bayard Sartoris is the novel's central character.  The twin brother of John Sartoris, the son of John and Lucy Cranston Sartoris, and the grandson of ""Old"" Bayard. He attended the University of Virginia and then taught flying in Memphis, where he met and married Caroline White. During World War I he joined the Royal Air Force and served in Europe, where his brother was shot down and killed.  As a member of the 'Lost Generation,' he suffers from both the horrors of that war and survivor guilt about his brother's loss.  While he was still overseas, his wife and newborn child, whom she had named ""Bayard"" months before his birth, died. He returned home in 1919 and married Narcissa Benbow. He inadvertently caused the death of his grandfather when the old man suffered a heart attack while riding with him in his automobile. While test-flying an aeroplane he knew to be unsafe in Dayton, Ohio, he crashed and was killed on June 11, 1920, according to the date on his tombstone (397). That same day, Narcissa gave birth to his son, Benbow (Bory) Sartoris.</p><br />","Accident","0xFFFFFF","","","showCharHover","t","Sartoris plantation","17","","","Yoknapatawpha","""Ad Astra"", ""There Was a Queen"", Requiem for a Nun, The Mansion, The Town","i(Requiem for a Nun); i(The Town); i(The Mansion); ""Ad Astra""; ""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 039","419","Sartoris, (Young) Bayard","1392","Individual","","","","0","Bayard Sartoris III","18842","John Sartoris II","","","SartorissInFD;BenbowsInFD","Friday, June 11, 1920"
"Flags in the Dust","FD","Johnny Sartoris","Johnny","White","Male","Upper Class","Major","Dead-ghost","Sartoris","Armed Forces","Aviator","Sartoris Plantation","March 16th, 1893","Sartoris Plantation","<p>The twin brother of Bayard Sartoris, III (""Young Bayard""), son of John and Lucy Cranston Sartoris, and grandson of ""Old"" Bayard. He attended the University of Virginia and Princeton University before joining the Royal Air Force as an aviator in World War I. He was shot down and killed behind enemy lines in July 1918.  In a sense he haunts the text.  He is remembered very fondly by many of the novel's characters, and with a great deal of survivor guilt by his brother.</p><br />","War","0xFFFFFF","","","showCharHover","t","Sartoris plantation","18","","","Yoknapatawpha","""Ad Astra"", ""All the Dead Pilots"", ""There Was a Queen"", Requiem for a Nun, The Mansion, The Town","i(Requiem for a Nun); i(The Town); i(The Mansion); ""Ad Astra""; ""All the Dead Pilots""; ""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","989","419","Sartoris, Johnny","1393","Individual","","","","0","John Sartoris III","18843","John Sartoris II","","","SartorissInFD","Friday, July 5, 1918"
"Flags in the Dust","FD","Belle Mitchell","Belle Mitchell Benbow","White","Female","Middle Class","Major","Alive","Benbow","","","Mitchell House","January 1st, 1888 to December 31st, 1893","Mitchell House","<p>Harry Mitchell's wife and Horace Benbow's lover at the start the novel, she is Mrs. Benbow at the end.  With Harry she has a daughter, Little Belle.  Her hair is described as a ""rich bloody auburn"" (199), and her personality in equally vivid if pejorative terms: ""her eyes are like hothouse grapes and her mouth was redly mobile, rich with discontent"" (182).</p><br />","","0xFFFFFF","5","","showCharHover","t","Mitchell house","31","","","","Sanctuary","i(Sanctuary)","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 339","700","Mitchell, Belle","1394","Individual","","","","0","Belle Mitchell Benbow","19070","Unnamed Father of Belle and Joan;Unnamed Mother of Belle and Joan","","","BenbowsInFD",""
"Flags in the Dust","FD","Narcissa Benbow Sartoris","Narcissa Sartoris;Narcy","White","Female","Upper Class","Major","Born","Benbow","","","Benbow House","January 1st, 1890 to December 31st, 1896","Mitchell House","<p>Sister of Horace Benbow, with whom she seems to have an unusually close relationship, and second wife of (Young) Bayard Sartoris, whom she married in 1919 and with whom her relationship is always strained.  The most eligible upper-class woman in Jefferson, she is courted openly by Dr. Alford, and clandestinely by Bryon Snopes, whose anonymous love letters she keeps in her bedroom until Byron steals them.  (""There Was a Queen"" tells the story of how she recovered these letters.)  On June 5, 1920, the same day of her husband's death, she gave birth to a son.  Aunt Jenny wanted her to name him John, but Narcissa chose Benbow ""Bory"" Sartoris, perhaps hoping break the self-destructive pattern repeated by the male Sartorises.</p><br />","","0xFFFFFF","5","","showCharHover","t","Mitchell house","32","","","Yoknapatawpha","""There Was a Queen"", Sanctuary, The Mansion, The Town","i(Sanctuary); i(The Town); i(The Mansion); ""There Was a Queen""","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 289","700","Benbow, Narcissa","1395","Individual","","","","0","Narcissa Benbow Sartoris","18866","Julia Benbow;Will Benbow","","","BenbowsInFD;SartorissInFD",""
"Flags in the Dust","FD","Horace Benbow","Horry","White","Male","Upper Class","Major","Alive","Benbow","Professional","Lawyer","Benbow House","January 1st, 1887 to December 31st, 1893","Jefferson Railroad Station","<p>The last male descendant of the aristocratic Benbow family, Horace served as a noncombatant with the YMCA during World War I. Like his father he is a lawyer. His passion for glass blowing identifies him as an artist-figure, albeit a hapless one.  Like Quentin Compson, he is characterized by his idealism and his ineffectuality, and he is often depicted at the mercy of women: his sister Narcissa, his mistress and eventual wife Belle, and even Belle's sister, Joan, with whom he has a very brief affair. By the end of the novel he and Belle have moved to a new town some distance from Jefferson, where Horace feels very much in exile; he returns to Jefferson as the central character in <em>Sanctuary</em> (1931).</p><br />","","0xFFFFFF","5","","showCharHover","t","Beard boarding house","57","","","Yoknapatawpha","""There Was a Queen"", Sanctuary","i(Sanctuary)","","=round(((1/(sqrt(RC[-17])*.6))*if((RC[-16]=""male""),20,23)))","1 206","783","Benbow, Horace","1396","Individual","","","","0","Horace Benbow","18867","Will Benbow;Julia Benbow","","","BenbowsInFD",""
