"nid","family_name","family_key","text","sort_name","display_name","note","tree"
"19666","<a href=""/content/benbowsinaa"">BenbowsInAA</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>While the Benbow house has stood in Jefferson since the 1840s, Faulkner here for the first time identifies the man who most likely built it and lived there first.  ""Judge Benbow"" - he is given no other name - is the executor of Goodhue Coldfield's estate.  He also looks out for Rosa Coldfield after the Civil War, and in return she cites him along with Quentin Compson's grandfather as a paragon of breeding and deportment (35).  Chronologically the Judge could be the father of Francis Benbow, who was mentioned in <em>Flags in the Dust</em>, but in this novel his son - the books' only other Benbow - is named Percy.</p>
","Benbows in Absalom, Absalom!","Absalom, Absalom!","",""
"19663","<a href=""/content/benbowsinfd"">BenbowsInFD</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>In <em>Flags in the Dust</em> ""family"" is largely a way to define class.  If Faulkner's first Yoknapatawpha fiction depicts the Sartorises as the county's closest thing to a hereditary nobility, Narcissa Benbow's family pedigree identifies her as a kind of town princess.  The family home she and her older brother Horace live in was designed three generations earlier by an English architect, and features ""mullioned casements brought out from England"" (164).  When readers first meet her on the novel's first day, she is the one lady at Belle Mitchell's party to whom Miss Jenny Sartoris du Pre offers a ride in <em>her</em> family's horse-drawn carriage (29).  The idea that a Snopes could aspire to Narcissa's hand is treated as perverse, a symptom of modernity as chaos, but even the attentions of the middle-class Dr. Alford are depicted as a form of presumption; of course a Benbow should marry a Sartoris, and Narcissa does.  When her new husband dies, she and her infant son are left in possession of the Sartoris plantation.</p>
<p>Two earlier generations of Benbows are briefly referred to, and Horace's adult career as a lawyer is described as another kind of inheritance.  But the only family relationship that the novel develops is the sibling one between Narcissa and Horace.  With them Faulkner also explores ""family"" psychologically, anticipating a thematic emphasis he will develop much more fully in his next two Yoknapatawpha fictions, <em>The Sound and the Fury</em> (1929) and <em>As I Lay Dying</em> (1930).  ""Horry"" and ""Narcy"" - as they call each other, sometimes with too much affection and sometimes with an anguish that seems over-determined - are pulled together and apart by his sexual desires (which betray him into a sordid relationship with the married Belle, whom he marries at the end) and Narcissa's incompletely sublimated sexual repressions.  The relationship between aristocratic exclusivity and incest, fastidiousness and transgression, is another familiar literary and cultural motif, though it's not clear how deliberately Faulkner is deploying it to challenge, or even complicate his class allegiances elsewhere in the novel.</p>
","Benbows in Flags in the Dust","Flags in the Dust","",""
"19668","<a href=""/content/benbowsinh"">BenbowsInH</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>""Judge Benbow"" makes an extremely brief and offstage appearance as the originator of an epigram about Will Varner (6).</p>
","Benbows in The Hamlet","The Hamlet","",""
"19669","<a href=""/content/benbowsinkgb"">BenbowsInKGB</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>In the last story of <em>Knight's Gambit</em>, also called ""Knight's Gambit,"" the last-born Benbow makes the family's final appearance, chronologically, when Charles Mallison notes that in the early days of World War II Benbow Sartoris is ""already in England"" on a ""hush hush"" mission for the Army (251).  Sartorises were known for their military service, but before Benbow Sartoris the closest a Benbow had gotten to war was when Horace worked for the Y.M.C.A. in France during World War I as a non-combatant.</p>
","Benbows in Knight's Gambit","""Knight's Gambit""","",""
"19671","<a href=""/content/benbowsinm"">BenbowsInM</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>As in <em>The Town</em>, in this novel the two Benbows who appear are defined in the context of the Sartoris family.  Again Narcissa is the woman Bayard marries, though this novel revises the story to suggest that it was ""Mrs Du Pre"" who picked her out for him (210).  Benbow Sartoris is mentioned when, again, Charles Mallison is on a hunting trip to Sartoris, though by now Benbow is seventeen and ""considered one of the best bird shots in the county"" (228).</p>
","Benbows in The Mansion","The Mansion","",""
"19664","<a href=""/content/benbowsinsy"">BenbowsInSY</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>Horace and Narcissa's sibling relationship is still close to the center of this novel, but the latent sexual passions that seemed to define it in <em>Flags in the Dust</em> have been pushed outside the family and made all-too-explicit in the book's sensational scenes of lust and voyeurism, prostitution and rape.  Horace's relationship with his wife's daughter is contaminated by desires that he cannot acknowledge, but strictly speaking Little Belle Mitchell is not a Benbow.  The scenes between brother and sister are intense, and one even takes place with her sitting on his bed in the dark, but what pulls them together and apart here is the collision between Horace's Quixotic pursuit of justice and Narcissa's fierce obsession with her genteel reputation.  Although the novel takes place a decade after <em>Flags</em>, the Benbow house in Jefferson is still there; as a family home, however, it is devoid of any memories older than Horace.  Narcissa does mention ""our father and mother"" to him (118, 184), but only to enlist their shades in her campaign to refuse him any emotional sanctuary in what she calls ""my house.""  Both the family past and the sibling relationship have been attenuated to a vanishing point. Nor, despite the minor presence of Narcissa's son, is the novel interested in imagining a future for the Benbow family.</p>
","Benbows in Sanctuary","Sanctuary","",""
"19670","<a href=""/content/benbowsint"">BenbowsInT</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>The two Benbows whose names appear in the novel (they themselves do not appear) are identified as part of the Sartoris story.  ""Miss Narcissa Benbow"" is referred to in passing as the woman Bayard Sartoris persuaded to marry him (124).  Their son Benbow is mentioned as too young ""to hold a gun"" when Charles Mallison refers to the hunting trip he and Aleck Sander make to Sartoris (254).</p>
","Benbows in The Town","The Town","",""
"19665","<a href=""/content/benbowsintwq"">BenbowsInTWQ</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>This short story could be seen as the asymmetrical third installment in a hypothetical 'Benbow trilogy.'  Set not long after the events of <em>Sanctuary</em>, it returns to the events of <em>Flags in the Dust</em> to explain how Narcissa recovers the obscene letters she lost on the eve of her marriage to Bayard Sartoris.  A widow for the last decade, she and her ten-year-old son Benbow are living at the Sartoris plantation with Miss Jenny Sartoris du Pre, the queen of the title.  Her brother Horace is mentioned, but not named.  On the other hand, the intensity with which she tries to force her son, whom she calls ""Bory,"" ""closer"" to her raises the spectre of her ambivalent sibling relationship with ""Horry"" (742).  The story ends with Jenny's death rather than the future of either the Benbow or the Sartoris family.</p>
","Benbows in There Was a Queen","""There Was a Queen""","",""
"19667","<a href=""/content/benbowsinuv"">BenbowsInUV</a>","<a href=""/content/benbowfamily"">BenbowFamily</a>","<p>The Benbow family is referred to generally as the antebellum owners of the slave Cassius (199).  The only specifically named member of the family, however, is ""Judge Benbow,"" who is mentioned in passing as the man who legally dissolved the partnership between Sartoris and Redmond after the Civil War (225).</p>
","Benbows in The Unvanquished","The Unvanquished","",""
"19711","<a href=""/content/compsonsinaa"">CompsonsInAA</a>","<a href=""/content/compsonfamily"">CompsonFamily</a>","<p>This story about the four Yoknapatawpha generations of Sutpens relies heavily on three generations of Compsons.  General Compson, who was Thomas Sutpen's ""only friend"" (220), is the source for what is known about Sutpen's life before he became the county's largest land- and slave-owner.  The General's son, referred to only as Father, becomes the novel's dominant voice as he passes what the General told him about the Sutpens, along with his own commentary, on to his son Quentin.  And Quentin is the modern Southerner around whom the narrative organizes itself, who has ""<em>heard too much . . . had to listen to too much</em>"" (168).  It is significant that most of the Compsons never appear in <em>Absalom!</em>  As opposed to <em>The Sound and the Fury</em>, Quentin here is defined as the child of a place and its historical past more than as member of a particular family.  What Mr. Compson says to Quentin about incest, for instance, may remind readers of the earlier novel of Quentin's relationship with his sister, but this novel's emphasis is unmistakenly cultural rather than Freudian.  As in the earlier short stories ""That Evening Sun"" and ""A Justice,"" Quentin is exposed to a new realm of experience, only here that experience is not found in a Negro cabin or an Indian village but on a plantation that is still grander than the Compson estate.  The novel maintains a sense of the class difference between the older Compson family and the parvenu Sutpens; ""your grandfather or Judge Benbow,"" Father tells Quentin, would have enacted the role of gentleman ""more effortlessly"" (35).  But that distance cannot shelter Quentin from the anguished sense that ""<em>maybe it took . . . Thomas Sutpen to make all of us</em>"" (210).  Sutpen's ""trouble,"" Father tells Quentin in the middle of repeating what his father told him, ""was innocence"" (178).  Quentin's trouble is knowledge.  That is what he inherits as a Compson in this novel.</p>
","Compsons in Absalom, Absalom!","Absalom, Absalom!","",""
