"Code","LocationName","Authority","Description","DisplayLabel","DisplayType","X","Y","LocDescription","DisplayName","JeffersonDescription","JeffersonLabel","JeffersonX","JeffersonY","SortName","Region"
"001","Sartoris Bank|Merchants' and Farmers' Bank","","","","","","","<p>This bank is the first piece of unreal estate in Yoknapatawpha that Faulkner created.  Both the unfinished ""Father Abraham"" manuscript and <em>Flags in the Dust</em>, his first published Yoknapatawpha fiction, begin inside the bank - ""Abraham"" with Flem Snopes as its president; <em>Flags</em> with old Bayard Sartoris in control.  Bayard founded it in the 1890s, which is why colloquially it is referred to as the 'Sartoris Bank,' but its official name is the Merchants' and Farmers' Bank.  In <em>The Sound and the Fury</em>, Faulkner's second Yoknapatawpha fiction, ""the old Merchants' and Farmers' Bank"" is described as having ""failed"" sometime before 1928 (216), but in nine more texts, from ""That Evening Sun"" through <em>The Reivers</em>, it remains open and prosperous.  The calculated steps by which Flem Snopes becomes its president is a major narrative element in the last two volumes of the Snopes trilogy, which in a sense bring Faulkner's imagination back to that origin moment in ""Father Abraham.""  In <em>The Town</em> it is also called ""the new bank"" (44), to distinguish it from the older Bank of Jefferson, which was founded in ""1830 or so"" (280).   Faulkner's own grandfather, John Wesley Thompson Falkner, started the First National Bank of Oxford in 1910.  Banks, of course, are supposed to <em>preserve</em> things from loss, but just as Old Bayard loses control of his bank and Flem ultimately ends up in charge of it, in 1920 J.W.T. Falkner was forced to resign from the bank's presidency.  In his fiction, however, Falkner's grandson could maintain ultimate control over the bank's fortunes.  (See also the entry for Bank of Jefferson in the index.)</p>
","Sartoris Bank|Merchants' and Farmers' Bank","","","","","Sartoris Bank|Merchants' and Farmers' Bank","J"
"003","Jefferson Square Monuments","","","","","","","<p>""The slender white pencil of the Confederate monument"" - that is how <em>Intruder in the Dust</em> refers to the statue of an unidentified Confederate soldier that stands atop a tall pedestal in front of the courthouse in the Square at the center of Jefferson (48).  This monument appears in 8 fictions.  <em>Requiem for a Nun</em> provides the most detail about it and its history, and includes an account of the ""Confederate Decoration Day"" in 1900 when Colonel Sartoris' sister, Virginia DuPre, officially unveiled it and the town's surviving Confederate veterans sounded one last 'rebel yell' (188).  According to <em>Requiem</em>, the monument was ""instigated"" and paid for by the United Daughters of the Confederacy - a real Southern organization that in the decades right before and after 1900 erected many of the real Confederate monuments across the South (189).  Also according to <em>Requiem</em>, neither the U.D.C. nor the ""architect"" who designed the monument noticed that the soldier faces <em>south</em>, ""toward (if anything) his own rear"" - apparently looking ""for reinforcements"" (190).  This ""Confederate soldier gazing with empty eyes beneath his marble hand in wind and weather"" figures most significantly in the last scene of <em>The Sound and the Fury</em> (319), when Benjy Compson is briefly traumatized by being taken the 'wrong' way around the statue during his regular trip to the town cemetery.  That event is echoed, though it's hard to say how intentionally or ironically, when <em>Go Down, Moses</em> ends with the hearse carrying the black body of Samuel Worsham Beauchamp ""circling the Confederate monument"" on his trip ""home"" to a cemetery in the county (363).  Several fictions mention the different 'monument' that pays a perverse kind of tribute to Flem Snopes and his anti-heroic venality: the town's tall water tower, where one of Flem's corrupt schemes has made the water undrinkable.  Less obvious though perhaps also worth noting in connection with the town's official monument to the 'Lost Cause' and its defeated heroes is the image that forms in Quentin Compson's thoughts earlier in <em>The Sound and the Fury</em>, of ""Colonel Sartoris"" and his grandfather General Compson ""wearing his uniform"" on ""a high place looking across at something"" (176).  Faulkner considered the Confederate monument significant enough to include it as one of the Yoknapatawpha places he included on his first map of the county, and even though most of the fictions that mention the monument do so only briefly, in passing, it's probably always appropriate to consider the context in which those references occur, or even to think about how, in both a geographic and historical and ideological sense, this statue stands at the center of Yoknapatawpha.  On the other hand, it's also interesting to wonder why, in some texts, the statue is conspicuous by its absence.  For example, in <em>Light in August</em>, Byron Bunch stands outside the courthouse ""beneath the portico which faced the south side of the square,"" and notes how ""the stone columns rose, arching, weathered, stained with generations of casual tobacco"" (415); but Bryon (who is one of Faulkner's few major characters who leave their 'past' behind) does <em>not</em> make any reference to the marble soldier who in so many other Faulkner texts stands outside the courthouse's south side.    And one text, <em>Requiem</em>, adds two new monuments to the Square: ""a French point-seventy-five field piece squatting on one flank of the base of the Confederate monument"" that is apparently a memorial to the soldiers who fought (as American rather than Confederate soldiers) during World War I (190); and (presumably on the statue's other ""flank"") a memorial to the combatants of World War II that very explicitly marks both a re-united and still divided United States: an anti-tank gun ""captured from a regiment of Germans in an African desert by a regiment of Japanese in American uniforms, whose mothers and fathers at the time were in a California detention camp for enemy aliens"" (194).  These don't appear in any other texts.  As supplements to the original statue, they locate 'Yoknapatawpha' in a much larger context, even racially.</p>
","Jefferson Square Monuments","","","","","Jefferson Square Monuments","J"
"004","Sartoris Plantation ","","","","","","","<p>First appearing in the first Yoknapatawpha fiction, <em>Flags in the Dust</em>, as the antebellum plantation ""that John Sartoris built and rebuilt"" (8), the Sartoris place four miles north of Jefferson is one of the most frequently visited locations in the Yoknapatawpha fictions.  How it survived the challenges of the Civil War - including Yankee soldiers and emancipationist ideas - is dramatized in <em>The Unvanquished</em> stories.  In <em>Flags</em> it has survived almost intact into the 20th century, its fields now being worked by tenant farmers rather than slaves, though by the end of the novel its future as a material representation of the Old South and the plantation aristocracy is unclear.  In later fictions it is referred to more often than described; suggestively, in its chronologically last appearances (the final two volumes of the Snopes trilogy) it is a place to hunt quail.  (Fourteen separate sites on the Sartoris plantation have their own entries in this index.)</p>
","Sartoris Plantation ","","","","","Sartoris Plantation ","NW"
"005","Mitchell House","","","","","","","<p>The narrator of <em>Flags in the Dust</em> calls this ""huge brick house set well up onto the street"" (24) a ""majestic monstrosity"" (180).  Built on the site of a ""fine old colonial house"" by ""a hillman who had moved in [to Jefferson] from a small settlement called Frenchman's Bend,"" it is described as ""an architectual garbling so imposingly terrific as to possess a kind of majesty"" (24).  It is built close to the street in the fashion of the country rather than set back on a deep lawn, as dictated by the town's upper-class traditions (a practice endorsed throughout the fictions by Faulkner himself).  When the hillman left Jefferson two years after building it, he sold it to ""a new-comer to town,"" presumably Harry Mitchell (24).  Behind the house Harry and Belle Mitchell live in is a new tennis court.</p>
","Mitchell House","","","","","Mitchell House","J"
"006","Benbow House","","","","","","","<p>In <em>Flags in the Dust</em> the ancestral home where Horace and Narcissa live is one of the oldest houses in one of Jefferson's oldest and most aristocratic neighborhoods.  It was built in the 1840s by an English architect in what the narrator calls ""the funereal light tudor which the young Victoria had sanctioned"" (163).  It is set well back from the street, with extensive, well-landscaped front grounds.  To Horace Benbow, seeing it again for the first time after experiencing the Great War in France, the house expresses ""the meaning of peace"" (163).  After Horace and Narcissa move out, the house stays empty for a decade, until Horace re-opens it in <em>Sanctuary</em>.  Horace is still looking for refuge, from a bad marriage and modernity.  Just as his sister Narcissa insists that the former Memphis prostitute her brother is helping not be allowed to stay in the house, so he himself tries unsuccessfully to keep Clarence Snopes (an embodiment of the newer, coarser South) from getting inside.  Interestingly, even in <em>Flags</em> the quasi-obscene letters that another Snopes, Bryon, writes Narcissa <em>do</em> get into the house - as Bryon himself does, illegally, one night.</p>
","Benbow House","","","","","Benbow House","J"
"007","County Jail","","","","","","","<p>The jail in Jefferson appears in 16 different texts.  In <em>Flags in the Dust</em>, the first Yoknapatawpha fiction, it's Bayard Sartoris who spends a night there; although he has been drinking, the jailer treats him as a guest rather than an inmate.  In the other instances its inmates are lower class characters and, especially, Negroes.  Jabbo Gatewood, for example, in <em>The Town</em>, is a black man who is regularly jailed for drunkenness.  The jail includes the ""living quarters"" of the jailer and his family, a ""bullpen"" where black prisoners are confined in a group, and a single cell usually reserved for white prisoners, though there are major exceptions to this - including Lucas Beauchamp, a central character in the detective fiction <em>Intruder in the Dust</em>, which originated in Faulkner's idea to have someone falsely accused of murder solve the mystery from inside a cell.  In <em>Requiem for a Nun</em> - which organizes the story of Jefferson's early years around the jail and includes a final act titled ""The Jail"" - Gavin Stevens says that the best way to learn ""the history of a community"" is to study the graffiti drawn by successive generations of prisoners on their cell walls (168).  Faulkner never does that, though one of the jail's windows includes the signature that a jailer's daughter scratched there with a diamond ring during the Civil War (he tells three versions of that story: <em>The Unvanquished</em>, <em>Intruder</em>, <em>Requiem</em>).  Among the jail's most significant inmates are Lee Goodwin (in <em>Sanctuary</em>), Joe Christmas (in <em>Light in August</em>), Rider (in ""Pantaloon in Black""), Mink Snopes (in all three volumes in the Snopes trilogy), and Nancy Mannigoe (in both ""That Evening Sun"" and <em>Requiem</em>).</p>
","County Jail","","","","","County Jail","J"
"008","Holston House","","","","","","","<p>Along with the jail, the Holston House is the oldest continuously standing building in Jefferson.  It began as a tavern, founded by Alexander Holston, one of the town's original three white inhabitants.  As <em>Requiem for a Nun</em> notes, it is ""still"" exists in mid-20th century Jefferson, with its ""original log walls and puncheon floors and hand-mortised joints . . . still buried somewhere beneath the modern pressed glass and brick veneer and neon tubes"" of the ""hotel"" owned and managed by descendants of the first Holston (7, 167).  According to <em>The Mansion</em>, the traditions it preserves are not those of the town's frontier origins but of Victorian gentility: it ""still clung to the old ways, not desperately nor even gallantly: just with a cold and inflexible indomitability"" so that ""no man"" dined there ""without a coat and necktie and no woman with her head covered"" (421).  According to <em>Requiem</em>, the kitchen of the Holston House is the site of ""the settlement's first municipal meeting"" (12).  The hotel is also where Sutpen stays when he arrives in Jefferson in the 1830s and where, in <em>The Unvanquished</em>, Colonel Sartoris shoots Joanna Burden's ancestors during Reconstruction.  (By the way, in <em>The Town</em>, the Episcopal church is referred to as the oldest extant building in Jefferson - Faulkner is nothing if not inconsistent.)</p>
","Holston House","","","","","Holston House","J"
"009","Compson Place","","","","","","","<p>Best known as decaying, haunted mansion from <em>The Sound and the Fury</em>, the Compson place began as a prosperous antebellum slave plantation on a square mile of land so near the settlement of Jefferson that the property is eventually incorporated into the town.  The ""Appendix"" that Faulkner wrote sixteen years after the novel notes the plantation's ""slavequarters and stables and kitchengardens,"" ""formal lawns and promenades and pavilions,"" and a ""columned porticoed house"" designed by an architect and furnished from France (328).  That ""Appendix"" sums up the longer story of its decline from this grandeur into a mid-20th century housing development consisting of ""row after row of small crowded jerrybuilt individuallyowned demiurban bungalows"" (331).  In the Snopes trilogy it turns out that Flem is behind this last stage in the fall of the house (see <em>The Town</em> and <em>The Mansion</em>), but even by the late 19th century and the childhood of the Compson children the path of its decline is clear.  On the inset map for the Compson place in <em>The Sound and the Fury</em> are 15 separate Locations, including one for the house; each of those Locations has its own entry in this index.</p>
","Compson Place","","","","","Compson Place","J"
"010","Coldfield House","","","","","","","<p>The Coldfield residence in Jefferson is small, with ""two storeys"" (6) and one of the more famous attics in American fiction. During Rosa's childhood in the 1850s it was a ""dim grim tight little house"" (55), but doubtless well-maintained, with its ""brick walk"" (36) and ""small, grimly middleclass yard or lawn"" (15). By 1909, when Quentin Compson spends an afternoon with her in the ""dim hot airless room"" that she calls the ""office because her father called it that"" (3), the house is ""unpainted and a little shabby"" (6), and although there is still a ""carriage"" in the ""barn"" in the back, there is no longer a horse to pull it (15).  The house is one of the five locations on the map Faulkner drew for <em>Absalom!</em> that figures in <em>Absalom!</em>, which is the only text it appears in.</p>
","Coldfield House","","","","","Coldfield House","J"
"012","Burden Place","","","","","","","<p>Although in <em>Light in August</em> the Burdens are abolitionists who come to Yoknapatawpha during Reconstruction to work for the rights of newly emancipated slaves, the large house they move into is an ""old colonial plantation house"" at the center of what was an antebellum slave plantation two miles from Jefferson (36).  Now Joanna, the last surviving member of the family, lives there alone, ""in a lonely house in a neighborhood populated, when at all, by negroes"" (258).  The entire property has fallen into decay even before the big house burns to the ground.  When Byron Bunch looks over it near the end of the novel he sees that ""the plantation is broken now by random negro cabins and garden patches and dead fields erosiongutted and choked with blackjack and sassafras and persimmon and brier"" - though the stately oaks that shade the plantation's mansion house ""still stand"" (425).</p>
","Burden Place","","","","","Burden Place","NW"
