"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"""There Was a Queen""","TWQ","1101","Jefferson Negro School","Public building","Speculation","Intruder in the Dust, The Mansion","1 225","760","<p>Isom 'corrects' his mother's statement about the distance between Yoknapatawpha and Carolina by telling her what he ""learnt in school"" (732).  The segregated structures of Faulkner's South leave no doubt that this school is a Negro one, but Isom gives us no way to say where it is - or whether he still attends it.  Faulkner identifies the approximate location of one Negro school in ""Pantaloon in Black,"" but that seems too far from Sartoris, so we have chosen to locate the Isom's where we located the one other segregated school mentioned in the fictions, the one in Jefferson that is mentioned in <em>Intruder in the Dust</em> and <em>The Mansion</em>.</p>","","","","","","","","","School Isom Attends","Continuous","School","Only Mentioned in Text","","","","",""
"Flags in the Dust","FD","1118","Jefferson Negro Store District","Event","Context (text, as interpreted)","""Uncle Willy"", Absalom, Absalom!","1 210","751","<p>When Byron Snopes looks for a ""negro"" to sell him a car for making his getaway after robbing the bank, he searches in ""a street occupied by negro stores and barber shops,"" where he ""inquires"" for the man ""from door to door"" (272).  No other details about this area of Jefferson are provided, but we locate the street in the same northwestern part of the town as the Negro district in other novels and stories.</p>","","","","","","","","","Negro Business District","Continuous","Negro-owned Business; Negro District","Site of Event","Negro Business District","","","",""
"The Mansion","M","215","Washington D.C.","OutOfYoknapatawpha","Text (when unambiguous)","""A Justice"", ""Appendix: Compson"", ""By the People"", ""Knight's Gambit"", ""Retreat"", ""Skirmish at Sartoris"", ""There Was a Queen"", ""Two Soldiers"", Light in August, Requiem for a Nun, The Sound and the Fury, The Town, The Unvanquished","2 507","890","<p>Washington, D.C., is where Devries goes to receive the Congressional Medal of Honor during World War II.  (It is also where Senator Clarence Snopes aspires to go, as a Congressman, but V.K. Ratliff makes sure he never gets there.</p>","","","","","","","","","Washington, D.C.","Continuous","City","Site of Event","Washington, D.C.","","","N",""
"The Mansion","M","603","Europe","OutOfYoknapatawpha","Context (text, as interpreted)","""Delta Autumn"", ""Smoke"", Absalom, Absalom!, Go Down, Moses, Intruder in the Dust, Sanctuary","2 502","1 288","<p>On the eve of World War II, Charles Mallison travels to ""Europe"" with two Harvard classmates; the two decide to stay in Paris, but on his own Charles ""sees a little of Europe on a bicycle"" (230).  He mentions ""Britain, France, Italy,"" but emphasizes what he saw of the ""composed and collective hysteria"" in the face of coming events, including ""too many soldiers"" and the ""Maginot Line"" - the fortifications that the French built to defend themselves against a German invasion (231).</p>","","","","","","","","","Europe","Continuous","Continent","Site of Event","Europe","","","",""
"The Mansion","M","311","Florida","OutOfYoknapatawpha","Text (when unambiguous)","","2 511","1 073","<p>Mr. and Mrs. Mallison travel to Miami during the Christmas holiday ""to spend a week looking at horses"" (229).  In 1937 they would probably have been attending the thoroughbred races at Hialeah Park Race Track, which opened in the 1920s and became famous - for its flamingos as well as its horse races - after a reconstruction in 1932.</p>","","","","","","","","","Miami, Florida","Continuous","City","Site of Event","Miami, Florida","","","",""
"The Mansion","M","1277","Charleston, South Carolina","OutOfYoknapatawpha","Text (when unambiguous)","Absalom, Absalom!, The Unvanquished","2 514","975","<p>Charleston, South Carolina, is an old Southern city that played a key role in the Civil War.  The Saint Cecelia society was founded in the 18th century, and famous for its elegant, upper class balls.</p>","","","","","","","","","Charleston","Continuous","City","Site of Event","Charleston, South Carolina","","","N",""
"The Hamlet","H","218","Mottstown|Mottson","Event","Faulkner map","""Centaur in Brass"", ""Hand Upon the Waters"", ""Knight's Gambit"", ""That Will Be Fine"", ""The Unvanquished"", As I Lay Dying, Intruder in the Dust, Light in August, The Sound and the Fury, The Unvanquished","1 333","1 650","<p>Mottstown is the seat of the county immediately south of Yoknapatawpha, and it appears frequently in the fictions.  In this novel it is where Will Varner meets his daughter Eula and her infant upon their return from Texas.  How Eula got as far as Mottstown is not made explicit, but it's likely that she traveled by train.  The railroad that runs through Mottstown in other texts also travels to Jefferson, but presumably the railroad station in Mottstown is closer or handier to Varner and Frenchman's Bend than the one in Jefferson.</p>","","","","","","","","","Mottstown","Continuous","Town","Site of Event","Mottstown","","","R",""
"Intruder in the Dust","ID","1310","Okatoba County","OutOfYoknapatawpha","Context (text, as interpreted)","""Appendix: Compson"", ""Hand Upon the Waters""","2 358","322","<p>In Chick Mallison's fantasy about Miss Habersham's circuitous journey through the three counties that lie on three sides of Yoknapatawpha, ""Okatoba"" seems to lie along Yoknapatawpha's western border (184).</p>","","","","","","","","","Okatoba County","Continuous","Mississippi County","Site of Event","Okatoba County","","","",""
"The Mansion","M","1309","Finland","OutOfYoknapatawpha","Context (text, as interpreted)","","2 505","1 258","<p>The two Marxist immigrants who appear in the novel are explicitly identified as ""two Finns,"" but the novel's account of them leaves several questions unanswered. Since are both Marxists, so there's no obvious reason why they would flee ""from Russia in 1917,"" when the Communists triumph (236). Since they are ""Finns,"" it's not clear why they are escaping ""from Russia"" (236). The novel never even mentions Finland by name, describing them as ""two Arctic Circle immigrants"" (237). About one-third of Finland is inside the Circle, and the majority of the people who live in that part of the country are Lapps. All these details make it hard to know whether we should call this Location, the place these two immigrants come from, the Arctic Circle, Russia - or Finland. The last option seems to be the least misleading one.</p>","","","","","","","","","Finland","Continuous","European Country","Only Mentioned in Text","Finland","","","",""
"The Mansion","M","1308","South America","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Absalom, Absalom!, Flags in the Dust","2 373","1 421","<p>As a widow, Mrs. Harriss is a compulsive traveler, but when the fighting in Europe at the beginning of World War II makes it impossible for her to continue sightseeing in the Old World, according to Charles Mallison's narrative, ""it had to be South America"" (282).  It's not clear how many trips she takes there (the only trip mentioned is referred to as ""this last time,"" which implies earlier trips), and her itinerary is never described, but it seems safe to say she visited Argentina, since on that ""last time"" she returned to Yoknapatawpha with an ""Argentine steeple-chasing cavalry officer"" named Sebastian Gualdres (282).</p>","","","","","","","","","South America","Continuous","Continent","Only Mentioned in Text","South America","","","",""
"""Knight's Gambit""","KGB","1308","South America","OutOfYoknapatawpha","Text (when unambiguous)","Absalom, Absalom!, Flags in the Dust, The Mansion","2 373","1 421","<p>After the fighting in World War II makes Europe ""interdict"" for Mrs. Harris, she takes her family traveling in ""South America"" (170).  They spend at least a year there, but the story does not describe their trip.  It seems safe to say, however, that she Argentina was on her itinerary, since when she returns she brings with her Sebastian Gualdres, an ""Argentine cavalry captain"" (170).</p>","","","","","","","","","South America","Continuous","Continent","Only Mentioned in Text","South America","","","",""
"Absalom, Absalom!","AA","1308","South America","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Flags in the Dust, The Mansion","2 365","1 440","<p>The narrative speculates that after killing Charles Bon, Henry Sutpen ""fled to Texas or California or maybe even South America"" (147).</p>","","","","","","","","","South America","Continuous","Continent","Only Mentioned in Text","South America","","","",""
